month,day,Temp2009,hour_of_day,Temp2010
Nov,28,7.8,12,-3.4
Nov,29,5.6,12,-6.1
Nov,30,7.1,12,-6.9
Dec,1,1.9,12,-6.4
Dec,2,0.5,12,-9.6
Dec,3,2.1,12,-4.6
Dec,4,5.7,12,-2.8
Dec,5,5.3,12,-0.3
Dec,6,4.9,12,-0.7
Dec,7,7.7,12,0.1
Dec,8,6.2,12,0.5
Dec,9,5,12,-5.3
Dec,10,5.4,12,-3
Dec,11,3.5,12,1.7
Dec,12,1,12,-4.6
Dec,13,1.1,12,-3.1
Dec,14,-0.5,12,-5.4
Dec,15,4.5,12,-6.5
Dec,16,-0.1,12,2
Dec,17,-5,12,-7.1
Dec,18,-3.5,12,-1.9
Dec,19,-5.2,12,-5.7
Dec,20,-6.8,12,-5.9
Dec,21,-5,12,-8.6
Dec,22,-3.7,12,-3.4
Dec,23,-0.9,12,-9.4
Dec,24,1.6,12,-9.4
Dec,25,1.7,12,-10.5
Dec,26,-0.4,12,-8.5
Dec,27,2.3,12,-6.8
Dec,28,-0.8,12,-11
Dec,29,1.4,12,-10.6
Dec,30,-5.5,12,-3
Dec,31,-8.1,12,-2.7
