age,Education_level,Count_var,highlight,Count_var_tot,Frac_edu
47,University,133234,All people counted,133234,1
48,High School,130750,All people counted,130750,1
48,Middle School,130750,All people counted,130750,1
48,Research,130750,All people counted,130750,1
48,University,130750,All people counted,130750,1
49,High School,132632,All people counted,132632,1
49,Middle School,132632,All people counted,132632,1
49,Research,132632,All people counted,132632,1
49,University,132632,All people counted,132632,1
50,High School,132076,All people counted,132076,1
50,Middle School,132076,All people counted,132076,1
50,Research,132076,All people counted,132076,1
50,University,132076,All people counted,132076,1
51,High School,128556,All people counted,128556,1
51,Middle School,128556,All people counted,128556,1
51,Research,128556,All people counted,128556,1
51,University,128556,All people counted,128556,1
52,High School,126108,All people counted,126108,1
52,Middle School,126108,All people counted,126108,1
52,Research,126108,All people counted,126108,1
52,University,126108,All people counted,126108,1
53,High School,131003,All people counted,131003,1
53,Middle School,131003,All people counted,131003,1
53,Research,131003,All people counted,131003,1
53,University,131003,All people counted,131003,1
54,High School,136713,All people counted,136713,1
54,Middle School,136713,All people counted,136713,1
54,Research,136713,All people counted,136713,1
54,University,136713,All people counted,136713,1
55,High School,137268,All people counted,137268,1
55,Middle School,137268,All people counted,137268,1
55,Research,137268,All people counted,137268,1
55,University,137268,All people counted,137268,1
56,High School,137017,All people counted,137017,1
56,Middle School,137017,All people counted,137017,1
56,Research,137017,All people counted,137017,1
56,University,137017,All people counted,137017,1
57,High School,135842,All people counted,135842,1
57,Middle School,135842,All people counted,135842,1
57,Research,135842,All people counted,135842,1
57,University,135842,All people counted,135842,1
58,High School,126135,All people counted,126135,1
58,Middle School,126135,All people counted,126135,1
58,Research,126135,All people counted,126135,1
58,University,126135,All people counted,126135,1
59,High School,119759,All people counted,119759,1
59,Middle School,119759,All people counted,119759,1
59,Research,119759,All people counted,119759,1
59,University,119759,All people counted,119759,1
60,High School,115037,All people counted,115037,1
60,Middle School,115037,All people counted,115037,1
60,Research,115037,All people counted,115037,1
60,University,115037,All people counted,115037,1
61,High School,113216,All people counted,113216,1
61,Middle School,113216,All people counted,113216,1
61,Research,113216,All people counted,113216,1
