t,Upper_CI,Confidence_level,median,Lower_CI
2.525252525252525,17.736216800448712,99%,16.76467343664224,15.925621871779118
2.6262626262626263,17.517238138614537,80%,17.083769482771686,16.700222719321346
2.6262626262626263,17.764072273389818,90%,17.083769482771686,16.314661823037245
2.6262626262626263,18.066331022316536,99%,17.083769482771686,16.256860089626084
2.727272727272727,17.838438670523924,80%,17.410831342615786,17.027796535601098
2.727272727272727,18.090820442903883,90%,17.410831342615786,16.64383797554557
2.727272727272727,18.413503112897402,99%,17.410831342615786,16.591549815796007
2.8282828282828283,18.161533375386803,80%,17.738299077522512,17.362094679925114
2.8282828282828283,18.41921170333929,90%,17.738299077522512,16.977563591983916
2.8282828282828283,18.80895515989027,99%,17.738299077522512,16.93283416459907
2.929292929292929,18.491363076773187,80%,18.076060674268497,17.702965399745967
2.929292929292929,18.75442564482862,90%,18.076060674268497,17.324666293531614
2.929292929292929,19.208193090850543,99%,18.076060674268497,17.27682339430787
3.0303030303030303,18.829654674445493,80%,18.41909007275977,18.049545454574492
3.0303030303030303,19.103616076446464,90%,18.41909007275977,17.673657102517254
3.0303030303030303,19.637596911719328,99%,18.41909007275977,17.62494754553402
3.131313131313131,19.177068146529447,80%,18.767584461671216,18.401538549628185
3.131313131313131,19.468570661559905,90%,18.767584461671216,18.039583438761554
3.131313131313131,20.097440821816267,99%,18.767584461671216,17.982551046170148
3.2323232323232323,19.52897270113804,80%,19.12342061897941,18.760709234593687
3.2323232323232323,19.823987550808752,90%,19.12342061897941,18.390043177241044
3.2323232323232323,20.547153789598376,99%,19.12342061897941,18.346678738999373
3.3333333333333335,19.890408144808422,80%,19.485597539811582,19.12662706409588
3.3333333333333335,20.200963317138747,90%,19.485597539811582,18.75398005671962
3.3333333333333335,21.04153292795156,99%,19.485597539811582,18.698663710349408
3.4343434343434343,20.25875391166945,80%,19.85325287687728,19.496818714999925
3.4343434343434343,20.59159912672537,90%,19.85325287687728,19.10240586793134
3.4343434343434343,21.51485770749835,99%,19.85325287687728,19.060931799238876
3.5353535353535355,20.635033081822815,80%,20.227205778939357,19.87402025211862
3.5353535353535355,20.987436976412333,90%,20.227205778939357,19.466839982127297
3.5353535353535355,22.016822402686913,99%,20.227205778939357,19.400471525174826
3.6363636363636362,21.016832066629064,80%,20.607941371589515,20.258071389318363
3.6363636363636362,21.40227929813091,90%,20.607941371589515,19.827119018597436
3.6363636363636362,22.54537367597104,99%,20.607941371589515,19.72241560021129
3.7373737373737375,21.406753419729252,80%,20.999475134837002,20.644138185783955
3.7373737373737375,21.837148468257197,90%,20.999475134837002,20.184565692912912
3.7373737373737375,23.06737943288531,99%,20.999475134837002,20.087174239294388
3.8383838383838382,21.80876348787499,80%,21.39782121112214,21.03660936995318
3.8383838383838382,22.28128008539808,90%,21.39782121112214,20.54991545363792
3.8383838383838382,23.59730854805335,99%,21.39782121112214,20.446194563519327
3.9393939393939394,22.218719754477906,80%,21.804523415023063,21.435946597815374
3.9393939393939394,22.73409547497373,90%,21.804523415023063,20.895764269906675
3.9393939393939394,24.122088985476196,99%,21.804523415023063,20.78327889910331
4.040404040404041,22.6413002243709,80%,22.21817207819706,21.84122562030469
4.040404040404041,23.199350242796527,90%,22.21817207819706,21.280261654177846
4.040404040404041,24.696180262163672,99%,22.21817207819706,21.14977267161026
4.141414141414141,23.078640090976414,80%,22.638235116829144,22.250424951336317
4.141414141414141,23.673097521363196,90%,22.638235116829144,21.644013146135475
4.141414141414141,25.252543989331272,99%,22.638235116829144,21.521643420493934
4.242424242424242,23.523626039075133,80%,23.06843594534015,22.667317825987247
4.242424242424242,24.156783805712706,90%,23.06843594534015,21.99644959889092
4.242424242424242,25.831705739156668,99%,23.06843594534015,21.862892709440562
4.343434343434343,23.975963330722198,80%,23.5058314941866,23.094872729901276
4.343434343434343,24.643921583779417,90%,23.5058314941866,22.35224857820965
4.343434343434343,26.435627935839737,99%,23.5058314941866,22.205865631371967
4.444444444444445,24.437276357066775,80%,23.952133780406133,23.529739401919397
