country_of_origin,company,farm_name,total_cup_points
Guatemala,"unex guatemala, s.a.",el papaturro,82.83
Brazil,cafebras comercio de cafés do brasil sa,santa fé 2,82.83
Colombia,essence coffee,NA,82.83
Guatemala,"siembras vision, s.a.",finca medina,82.83
Colombia,"coffeebythebag.com , inc.",NA,82.83
Colombia,racafe & cia s.c.a,NA,82.83
Mexico,beneficio custepec s.a. de c.v.,NA,82.83
Mexico,ecomtrading,santa rosa,82.83
Guatemala,"unex guatemala, s.a.",agropecuaria quiagral,82.83
Mexico,ecomtrading,finca nueva linda,82.83
Guatemala,inmobiliaria e inversiones dos mil s.a.,providencia,82.75
Guatemala,mercon guatemala s.a.,linda vista,82.75
Guatemala,"unex guatemala, s.a.",las merceditas,82.75
Guatemala,"unex guatemala, s.a.",las delicias,82.75
Guatemala,"unex guatemala, s.a.",la esmeralda,82.75
Guatemala,"unex guatemala, s.a.",la esmeralda,82.75
Taiwan,taiwan coffee laboratory,大鋤花間 (hoe vs. flower coffee farm),82.75
Brazil,ipanema coffees,capoeirinha,82.75
Colombia,racafe & cia s.c.a,NA,82.75
Guatemala,"armajaro guatemala, s. a.",el morito,82.75
Colombia,coffee export,NA,82.75
Colombia,the coffee source inc.,several,82.75
Mexico,cesmach s.c.,san lorenzo,82.75
Mexico,NA,tlamatoca,82.75
Mexico,cafe shunuc,NA,82.75
Colombia,ecom cca s.a.,supply chain ecom cca s.a.,82.75
Colombia,c.i.racafe & cia s.c.a,NA,82.75
Brazil,ipanema coffees,capoeirinha,82.67
Brazil,ipanema coffees,capoeirinha,82.67
Mexico,finca kassandra,gabriel bernard rivas ross,82.67
Colombia,federacion nacional de cafeteros,NA,82.67
Brazil,ipanema coffees,rio verde,82.67
Brazil,bourbon specialty coffees,santa maria,82.67
Taiwan,宸嶧國際,伊娜咖啡莊園,82.67
Mexico,productos y servicios chilindron s.a. de c.v.,los llanitos,82.67
Taiwan,blossom valley宸嶧國際,zhuo wu shan coffee 卓武山咖啡農場,82.67
Colombia,exportadora de cafe condor s.a,NA,82.67
Guatemala,finca medina,finca medina,82.67
Mexico,cafe montegrande,finca monte grande,82.67
Mexico,grupo cafetalero los brujos,finca castillos,82.67
Colombia,NA,la canada,82.67
Mexico,NA,kassandra,82.67
Colombia,NA,NA,82.67
Colombia,NA,NA,82.67
Guatemala,"unex guatemala, s.a.",la esmeralda,82.58
Taiwan,taiwan coffee laboratory,林園咖啡 lin yuan coffee,82.58
Brazil,volcafe ltda.,NA,82.58
Taiwan,宸嶧國際,台中市新社區崑山里,82.58
Brazil,bourbon specialty coffees,NA,82.58
Mexico,sustainable harvest,NA,82.58
Guatemala,s&d coffee and tea,NA,82.58
Colombia,exportadora de cafe condor s.a,various,82.58
Colombia,exportadora de cafe condor s.a,various,82.58
Colombia,exportadora de cafe condor s.a,NA,82.58
Mexico,NA,jamaica,82.58
Mexico,organizaciones de productores de cafe colimense sa de cv,la timbuchera; el ocotito y la hortaliza,82.58
Colombia,c.i.racafe & cia s.c.a,NA,82.58
Brazil,NA,fazenda chamusca,82.58
Brazil,ipanema coffees,fazenda capoeirnha,82.5
Guatemala,"unex guatemala, s.a.",la esperanza,82.5
Mexico,lusso coffee lab,finca san el retiro,82.5
Brazil,ipanema coffees,fazenda rio verde,82.5
Guatemala,"unex guatemala, s.a.",la union monte verde,82.5
Colombia,exportadora de cafe condor s.a,NA,82.5
Guatemala,"unex guatemala, s.a.",la esperanza y anexos,82.5
Mexico,NA,la pagua,82.5
Mexico,cafe de la sierra norte de puebla,caltuchoco,82.5
Mexico,finca santa cruz,santa cruz - pante don manuel,82.5
Guatemala,"waelti schoenfeld exportadores de cafe, s.a.",various,82.5
Brazil,exportadora de cafés carmo de minas ltda,fazenda do sertao,82.5
Colombia,c.i.racafe & cia s.c.a,NA,82.5
Guatemala,NA,NA,82.5
Guatemala,"unex guatemala, s.a.",piamonte,82.42
Guatemala,"unex guatemala, s.a.",las merceditas,82.42
Guatemala,"unex guatemala, s.a.",la esmeralda,82.42
Guatemala,asociación nacional del café - anacafe -,providencia,82.42
Colombia,racafe & cia s.c.a,NA,82.42
Brazil,bourbon specialty coffees,NA,82.42
Brazil,ipanema coffees,rio verde,82.42
Guatemala,the coffee source inc.,several,82.42
Mexico,productos y servicios chilindron s.a. de c.v.,los llanitos,82.42
Brazil,nucoffee,fazenda serra negra,82.42
Brazil,ipanema coffees,fazenda rio verde,82.42
Mexico,NA,finca los barreales,82.42
Colombia,racafe & cia s.c.a,NA,82.42
Mexico,cesmach s.c.,cipresal,82.42
Mexico,carajillo café sa de cv,pante san pedro,82.42
Mexico,NA,"cafetal el equimite, rancho agroecológico",82.42
Mexico,finca los barreales,los barreales 1112lbcat_s110312,82.42
Mexico,NA,corral del diablo lote 1,82.42
Mexico,NA,cañada fria,82.42
Mexico,NA,finca nextlalpa,82.42
Mexico,NA,santa rosa,82.42
Mexico,finca las nieves,fln mirador,82.42
Colombia,carcafe ltda,NA,82.42
Brazil,nucoffee,santa mariana,82.42
Colombia,exportadora de cafe condor s.a,NA,82.42
Colombia,NA,NA,82.42
Brazil,olam,fazenda são pedro,82.33
Brazil,volcafe ltda.,NA,82.33
Brazil,ipanema coffees,capoeirinha,82.33
